Category,Name,Description,Price,Note,,,,,,
small plates,kala chana ghugni - bihar,a snack-time adventure to bihar with tangy black chickpeas paired with crisp flattened rice flakes (chivda) and peanuts,380,plus vat & service 10%,,,,,,
,siddu - himachal pradesh,"a breakfast staple from the mountains of himachal, delightful lentil stuffed steamed buns served with zesty chilli-sesame (til ki chutney) and nutty flaxseed (teesi ki chutney) dips - also available in chicken",390,,,,,,,
,gobhi musallam - uttar pradesh,"tapori's take on the classic uttar pradesh delight, creamy, roasted cauliflower with a whole roasted beetroot",420,,,,,,,
,mochar chop - west bengal,"crispy potato and banana blossom croquettes, the ultimate bengali party pleaser, served with mint chutney",400,,,,,,,
,dal pakwan - sindhi,"a sindhi brunch masterpiece, it's a delightful medley of sweet, spicy & tangy lentils served with crisp flatbread, creamy yoghurt, coriander & date chutneys, our tribute to the sindhi community",400,,,,,,,
,kanava masala - andhra pradesh,"an adventurous take on spicy andhra-style squid, paired with a tangy ginger and lentil relish (allam chutney), served with a shot of creamy buttermilk (chach)",590,,,,,,,
,tawa-masala kaleji ice cream - new delhi & tamil nadu,"north meets south in this unconventional dish inspired by delhi weddings, spiced chicken liver ice cream served on a bed of crispy dosa crumble",490,,,,,,,
,pork vindaloo - anglo-indian,"a spicy hot and sour pork curry of portuguese origins from the recipe books of the anglo-indian families of kolkata, served with goan poee bread",530,,,,,,,
,scallop ceviche - goa,"goa on a plate - fresh hokkaido scallops cured in spices with a refreshing fennel & onion salad, served with sol kadi (kokum & coconut milk digestif)",650,,,,,,,
,kheema ghotala - maharashtra,"a taste of mumbai's true tapori culture, spicy minced lamb or beef paired with the classic ladi pav - the city's signature bread",550,,,,,,,
,amristari machli - punjab,"tapori's take on the amritsari classic, fried fish meets a mint chutney & mango salsa for a street food experience bursting with flavour",450,,,,,,,
,wahan mosdeng - tripura,"transport your senses to the state of tripura with this traditional salad of pork with timur (indian sichuan pepper), finely sliced onion, ginger & coriander",450,,,,,,,
,tabak maas - jammu & kashmir,"a taste of kashmir - succulent new zealand lamb ribs simmered in milk, ghee & spices, served with doon chetin (a walnut yoghurt dip & apple relish)",890,,,,,,,
large plates,undhiyu - gujarat,"a traditional mixed vegetable dish from gujarat, delicately spiced & served with mini fenugreek & millet flatbread (methi bajra thepla)",550,,,,,,,
,bajra khichda - rajasthan,"a hearty rajasthani lentil & millet porridge, infused with onions, garlic & yoghurt. served with ghee & spiced papad crumbs",550,,,,,,,
,dal bafla - madhya pradesh,"a taste of indore with this boiled & baked whole wheat bread, paired with zesty lentils & fiery garlic relish",550,,,,,,,
,kizhi parotta - tamil nadu,"a tamil nadu favourite, mildly spiced chicken & flaky flatbread, wrapped in a banana leaf bundle & served with an onion yoghurt - vegetarian option available",660,,,,,,,
,masur tenga - assam,"literally translating to 'sour fish', a home-style assamese fish curry served with a traditional fermented dry fish chutney & timur (indian sichuan pepper) spiced rice",660,,,,,,,
,nuste ambat - karnataka,"experience flavours from the coast of karnataka with crab, mussels, clams & prawns simmered in a curry of freshly ground coconut & spices, served with thin rice crepes (neer dosa)",790,,,,,,,
,natukozhi pulusu - telangana,"rustic, spicy chicken gravy, enriched with freshly ground spices & coconut, paired with steamed finger millet porridge",690,,,,,,,
,doi maach - west bengal,"a soul satisfying gently spiced fish stew cooked with yoghurt, served with signature gobindobhog rice",690,,,,,,,
,naga pork curry & singju - nagaland & manipur,authentic taste of nagaland in a hearty pork curry cooked with fermented bamboo shoot & served with a manipuri vegetable salad & indian sichuan pepper-flavoured (timur) rice,690,,,,,,,
,beef ularthiyathu - kerala,"spicy beef chilli fry from kerala, cooked with coconut & curry leaves, served with malabari parotta",690,,,,,,,
,jadoh & oma sibing - meghalaya & bodoland,"traditional breakfast of the khasi tribe from meghalaya, rice cooked with pork & pork fat, seasoned with ginger, pepper and prized lakadong turmeric, served alongside a black sesame pork curry, our tribute to the people of bodoland",690,,,,,,,
,lobster assad - pondicherry,"a rich, mildly spiced lobster curry inspired by the french-creole cuisine, finished with cashew & fresh coconut paste, served with buttered white rice, our tribute to the indo french community",2000,,,,,,,
desserts,benami kheer - uttar pradesh,can you guess the secret ingredient of this legendary dessert from the royal kitchens of awadh? this lost recipe or 'pudding with no name' is a true taste of history,400,,,,,,,
,idukki gold - kerala,"our tribute to the traditional payasam, a celebration of the beautiful temples and gardens of idukki",400,,,,,,,
,lonavala chocolate fudge - maharashtra,a trip down memory lane to lonavala with this delightful tart filled with old-fashioned chocolate almond fudge served with a scoop of house-made vanilla ice cream,400,,,,,,,
,bun-maska ice cream - parsi,"mumbai's irani cafes inspire tapori's bread & butter ice cream, a creamy homage to the timeless comfort food transformed into a frozen delight, served with cutting chai, our tribute to the parsi community",400,,,,,,,
,,,,,,,,,,
Champagne & Sparkling,"NV Sense Cap Cava Brut Reserva, Celler de Capçanes, Spain","50% Macabeu, Xarello & Parellada",550,,,,,,,
,"2022 Prosecco Rosé DOC Brut, Torresella, Southern Italy","Glera, Pinot Nero",400,,,,,,,
White,"2021 Alte Reben, Markus Schneider, Pfalz, Germany",Riesling,600,,,,,,,
,"2021 Gardian, Alma Cersius, Coteaux de Beziers IGP, Southern France","Chardonnay, Sauvignon Vermentino",350,,,,,,,
Natural Whites & Orange,"2021 Baby Bandito ‘Keep on Punching’, Testalonga, Swartland, South Africa",Chenin Blanc,650,,,,,,,
Rose,"2021 Coeur De Mediterranee Rosé IGP, France","Black Grenache, cinsault, Syrah",350,,,,,,,
Red,"2016 Central Otago, Salomon and Andrew, Central Otago, New Zealand",Pinot Noir,650,,,,,,,
,"2020 Barbera d’Asti ‘Tre Vigne’, Vietti, Piedmont, Italy",Barbera,650,,,,,,,
,"2019 La Nit de les Garnatxes: SLATE, Celler de Capçanes, Montsant, Spain",Grenache,550,,,,,,,
,"2022 Le Petit Balthazar, Grange Mazan, Pays d’ Oc, Southern France",Syrah,400,,,,,,,
Port Wine,"NV Manoella 10 Years Old Tawny Port, Wine & Soul, Douro, Portugal",Field blend of over 30 indigenous varieties of old vines,550,,,,,,,
Sherry,"Gonzalez Byass Winery (Tio Pepe), Jerez-Xérès-Sherry, Spain",Palomino Fino,370,,,,,,,
Digestif,"GRAPPA di Chianti Classico, Capannelle, Tuscany, Italy",Sangiovese,250,,,,,,,
,,,,,,,,,,
Tapori Signature Cocktails,Nashpati | Pear,Old Monk Rum // Fermented Pear // Pineaple Skin // Sichuan Pepper // Green Apple Juice // Milk // Salt,400,,,,,,,
,Nannari | Indian Sarsaparilla Roots,Short Story Vodka // Nannari Roots Cordial // Sparkling Wine,400,,,,,,,
,Amrud | Guava,Jose Cuervo Blanco Tequila // Pink Guava Rind // Jalapeno // Coriander,400,,,,,,,
,Imli | Tamarind,Cardhu Whisky // In House Smoky Peanut Liqueur // Claritied Tamarind Syrup // Lemon Juice // Caramelized Peanut,400,,,,,,,
,Ramphal | Passionfruit,Stranger & Sons Gin // Passionfruit // lalapeno // Egg White,400,,,,,,,
,Kaffee,Old Monk Dark Rum // South Indian Filter Coffee // Vanilla Liqueur // Cinnamon Infused Sweet Vermouth,400,,,,,,,
Classical Cocktails,Old Fashioned,Canadian Club Rye Whiskey // Sugar // Angostura Bitters // Orange Peel,380,,,,,,,
,Margarita,Jose Cuervo Blanco Tequila // Cointreau // Fresh Lime Juice,380,,,,,,,
,Smoked Manhattan,Jim Beam // Sweet Vermouth // Angostura Bitters // Smoked Brandied Cherry,380,,,,,,,
,Martini,Stranger & Sons Gin // Extra Dry Vermouth // Olive,380,,,,,,,
,Cosmopolitan,Short Story Vodka // Cointreau // Cranberry suice // Lemon Juice,380,,,,,,,
,Whiskey Sour,Jim Beam Bourbon // Lemon Juice // Simple Syrup // Egg White // Maraschino Cherry,380,,,,,,,
,Daiquiri,Bacardi White Rum // Fresh Lemon Juice // Castor Sugar,380,,,,,,,
Innocent Drinks,The Secret!,Mango Juice // Passion Fruit // Lemon Juice // Soda,200,,,,,,,
,Sesame & Soda,Roasted Sesame Cordial // Apple Cider Vinegar // Soda,200,,,,,,,
,The Innocent Watermelon,Watermelon Juice // Citrus // Mint // Jalapeno,200,,,,,,,
,Home Town Hajmola Ice Tea,Freshly Brewed Black Tea // Lemon Juice // Mint // Hajmola,200,,,,,,,
,Chaach,Yoghurt // Cumin //Ginger // Green Chilli // Black Salt // Curry Leaves,200,,,,,,,
,The Tapori Shikanji,Fresh Lime // Soda // House-mix,200,,,,,,,
Soft Drink,Aerated Beverages,,140,,,,,,,
,Soda,,120,,,,,,,
,Fresh Juice,,150,,,,,,,
,Acqua Pana ,750ml,160,,,,,,,
,Perrier Original ,750ml,180,,,,,,,
,San Pelligrino ,750ml,180,,,,,,,
,Premium Tonic Water,,200,,,,,,,
,Ginger Ale,,180,,,,,,,
Beer,Stella Artois,,250,,,,,,,
,Singha,,180,,,,,,,
,Tiger,,180,,,,,,,
Soju,Chuga Soju Peach,,220,,,,,,,
,Chuga Soju Apple,,220,,,,,,,
,Chuga Soju Yuzu,,220,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
